month,cme_id,t0,dt0_hr,pa_deg,da_deg,v_km_s,dv_km_s,minv_km_s,maxv_km_s,halo_flag,source_url
01,0144,2012-01-31 23:36:00,2,282,18,304,52,229,408,,https://www.sidc.be/cactus/catalog/LASCO/2_5_0/2012/01/cmecat.txt
01,0143,2012-01-31 17:12:00,6,263,76,347,38,261,416,,https://www.sidc.be/cactus/catalog/LASCO/2_5_0/2012/01/cmecat.txt
01,0142,2012-01-31 05:36:00,1,277,16,319,44,294,410,,https://www.sidc.be/cactus/catalog/LASCO/2_5_0/2012/01/cmecat.txt
01,0141,2012-01-30 03:24:00,2,34,30,253,152,134,525,,https://www.sidc.be/cactus/catalog/LASCO/2_5_0/2012/01/cmecat.txt
01,0140,2012-01-29 19:48:00,1,266,22,413,108,264,595,,https://www.sidc.be/cactus/catalog/LASCO/2_5_0/2012/01/cmecat.txt
01,0139,2012-01-29 10:12:00,2,100,50,350,87,137,456,,https://www.sidc.be/cactus/catalog/LASCO/2_5_0/2012/01/cmecat.txt
01,0138,2012-01-29 03:48:00,3,106,34,139,2,134,140,,https://www.sidc.be/cactus/catalog/LASCO/2_5_0/2012/01/cmecat.txt
01,0137,2012-01-28 23:24:00,1,280,6,431,4,425,437,,https://www.sidc.be/cactus/catalog/LASCO/2_5_0/2012/01/cmecat.txt
01,0136,2012-01-28 17:24:00,1,252,6,205,357,182,919,,https://www.sidc.be/cactus/catalog/LASCO/2_5_0/2012/01/cmecat.txt
01,0135,2012-01-28 13:37:00,1,283,32,658,192,345,1061,,https://www.sidc.be/cactus/catalog/LASCO/2_5_0/2012/01/cmecat.txt
01,0134,2012-01-28 08:48:00,1,51,8,744,116,735,946,,https://www.sidc.be/cactus/catalog/LASCO/2_5_0/2012/01/cmecat.txt
01,0133,2012-01-28 08:48:00,1,283,12,811,306,601,1513,,https://www.sidc.be/cactus/catalog/LASCO/2_5_0/2012/01/cmecat.txt
01,0132,2012-01-28 08:48:00,1,328,22,621,92,484,781,,https://www.sidc.be/cactus/catalog/LASCO/2_5_0/2012/01/cmecat.txt
01,0131,2012-01-28 08:48:00,4,169,76,781,587,139,1954,,https://www.sidc.be/cactus/catalog/LASCO/2_5_0/2012/01/cmecat.txt
01,0130,2012-01-28 08:48:00,1,108,30,999,610,138,1838,,https://www.sidc.be/cactus/catalog/LASCO/2_5_0/2012/01/cmecat.txt
01,0129,2012-01-28 08:12:00,1,52,18,976,591,132,1838,,https://www.sidc.be/cactus/catalog/LASCO/2_5_0/2012/01/cmecat.txt
01,0128,2012-01-28 07:48:00,2,161,56,1024,475,138,1893,,https://www.sidc.be/cactus/catalog/LASCO/2_5_0/2012/01/cmecat.txt
01,0127,2012-01-28 04:00:00,1,310,10,817,105,663,976,,https://www.sidc.be/cactus/catalog/LASCO/2_5_0/2012/01/cmecat.txt
01,0126,2012-01-28 00:36:00,1,105,36,1137,558,122,1901,,https://www.sidc.be/cactus/catalog/LASCO/2_5_0/2012/01/cmecat.txt
01,0125,2012-01-27 19:00:00,7,144,360,1130,419,349,1930,IV,https://www.sidc.be/cactus/catalog/LASCO/2_5_0/2012/01/cmecat.txt
01,0124,2012-01-27 13:48:00,2,235,8,323,116,187,525,,https://www.sidc.be/cactus/catalog/LASCO/2_5_0/2012/01/cmecat.txt
01,0123,2012-01-27 10:12:00,0,291,8,431,30,416,488,,https://www.sidc.be/cactus/catalog/LASCO/2_5_0/2012/01/cmecat.txt
01,0122,2012-01-27 07:24:00,1,179,12,234,64,173,363,,https://www.sidc.be/cactus/catalog/LASCO/2_5_0/2012/01/cmecat.txt
01,0121,2012-01-27 03:24:00,6,222,74,391,96,142,446,,https://www.sidc.be/cactus/catalog/LASCO/2_5_0/2012/01/cmecat.txt
01,0120,2012-01-26 19:48:00,1,359,8,458,46,395,525,,https://www.sidc.be/cactus/catalog/LASCO/2_5_0/2012/01/cmecat.txt
01,0119,2012-01-26 19:12:00,3,63,100,413,23,353,449,II,https://www.sidc.be/cactus/catalog/LASCO/2_5_0/2012/01/cmecat.txt
01,0118,2012-01-26 18:12:00,1,266,14,228,259,178,735,,https://www.sidc.be/cactus/catalog/LASCO/2_5_0/2012/01/cmecat.txt
