event_id,start,end,mid,n_windows,duration_hr,median_phase_rms_rad,peak_phase_rms_rad,median_baseline_phase_rms_rad,median_phase_ratio,peak_phase_ratio
9,2010-01-22 13:37:20,2010-01-22 14:17:20,2010-01-22 13:57:20,3,0.6666666666666666,36.62502321675243,45.7325688247824,17.232187852914343,2.120786521235949,2.6539037999779005
16,2010-01-28 10:47:20,2010-01-28 11:27:20,2010-01-28 11:07:20,3,0.6666666666666666,17.786515820234136,19.10442566408793,6.881388726696411,2.6026122355818275,2.7762456711640393
22,2010-02-04 13:37:20,2010-02-04 14:47:20,2010-02-04 14:07:20,5,1.1666666666666667,15.563542071766491,20.49386514647211,4.981548116776012,3.131888271481332,4.113955073013618
23,2010-02-04 15:07:20,2010-02-04 15:57:20,2010-02-04 15:32:20,4,0.8333333333333334,12.16927077960731,12.934551171272169,4.975463920010239,2.4543741391949245,2.5964922686811724
32,2010-02-07 15:07:20,2010-02-07 15:57:20,2010-02-07 15:37:20,3,0.8333333333333334,11.23743835696808,15.194886725135364,4.170973952617694,2.6942000800353805,3.6462276884977167
34,2010-02-09 14:17:20,2010-02-09 15:17:20,2010-02-09 14:42:20,4,1.0,7.528675885010612,12.19364169782962,3.363810626075461,2.2376705265677246,3.574645817142611
45,2010-02-15 12:27:20,2010-02-15 13:17:20,2010-02-15 12:52:20,4,0.8333333333333334,8.251366117577408,8.802089387391772,2.557110303523922,3.2268322982416136,3.4422016818209684
46,2010-02-15 14:27:20,2010-02-15 15:27:20,2010-02-15 14:52:20,4,1.0,9.601518233821484,12.26213139518435,2.5033065552379106,3.837205168089823,4.87399369441858
53,2010-02-17 11:27:20,2010-02-17 12:17:20,2010-02-17 11:47:20,3,0.8333333333333334,6.107294621692663,6.496226795628295,2.305383591341508,2.6491446562863814,2.8178507125784327
64,2010-02-23 05:37:20,2010-02-23 06:37:20,2010-02-23 06:12:20,4,1.0,3.9917147888869704,5.921437883880115,1.416273380866456,2.826188256213923,4.1809992081171945
65,2010-02-25 11:17:20,2010-02-25 16:47:20,2010-02-25 13:22:20,24,5.5,5.111934871430948,25.91947467385251,1.2576384992344054,4.076492436627628,20.565675006373233
66,2010-02-27 05:57:20,2010-02-27 06:37:20,2010-02-27 06:17:20,3,0.6666666666666666,8.905642683800915,12.021557147972732,1.2441383855659405,7.1949077234398,9.662556261781361
67,2010-02-27 16:27:20,2010-02-27 17:07:20,2010-02-27 16:47:20,3,0.6666666666666666,3.0074764938497416,4.032393317167617,1.1894005306316737,2.5115505271578002,3.3902736826811997
68,2010-03-01 14:47:20,2010-03-01 15:47:20,2010-03-01 15:17:20,4,1.0,5.212903869195312,7.057085509818602,1.6312252605179116,3.1933655294327155,4.360872266623568
69,2010-03-02 12:27:20,2010-03-02 15:07:20,2010-03-02 13:42:20,14,2.6666666666666665,8.87103470108079,21.7341038099005,1.7461533441125343,4.895370417095892,12.233404925402462
70,2010-03-02 15:17:20,2010-03-02 15:57:20,2010-03-02 15:37:20,3,0.6666666666666666,3.683071969413816,8.214871244203493,1.6778981111291202,2.1950510254376168,4.743164731857719
73,2010-03-04 09:57:20,2010-03-04 16:17:20,2010-03-04 13:07:20,37,6.333333333333333,10.373685142858315,23.21038268234735,1.5805419690479539,7.175942145269389,15.499195904715611
75,2010-03-07 08:57:20,2010-03-07 10:07:20,2010-03-07 09:32:20,6,1.1666666666666667,6.7791624143398606,9.113605859002512,0.8913822588750469,7.6121847767323025,10.224127492176224
80,2010-03-11 11:27:20,2010-03-11 15:17:20,2010-03-11 13:12:20,16,3.8333333333333335,3.1911477778573154,4.440787195372352,1.058013310521991,3.0187499077787505,4.17949036719
83,2010-03-13 14:57:20,2010-03-13 15:57:20,2010-03-13 15:27:20,3,1.0,3.697485082656492,4.671832566169063,1.6104206866440385,2.2959746563872665,2.8648850597951823
88,2010-03-15 11:27:20,2010-03-15 13:17:20,2010-03-15 12:22:20,10,1.8333333333333333,5.668670891826359,8.901376711215285,1.960600215882108,2.8812326443332177,4.540128394921348
90,2010-03-16 11:27:20,2010-03-16 12:27:20,2010-03-16 12:02:20,4,1.0,4.318671246525952,5.000553850104909,1.7424189157172325,2.4785493359662336,2.869891852641263
98,2010-03-18 13:07:20,2010-03-18 14:17:20,2010-03-18 13:37:20,5,1.1666666666666667,3.749019005006448,5.865189544487574,1.3894581288280978,2.6981878238881944,4.184279547038264
106,2010-03-20 17:27:20,2010-03-21 08:57:20,2010-03-20 17:47:20,3,15.5,2.3552106427572226,2.399563583684329,0.9177910675121563,2.5780578046248483,2.6078365621012374
115,2010-03-25 12:07:20,2010-03-25 12:47:20,2010-03-25 12:27:20,3,0.6666666666666666,2.524744778590387,3.763662047578016,1.1535676022400687,2.188640504195577,3.2626280768196896
119,2010-03-26 11:37:20,2010-03-26 12:17:20,2010-03-26 11:57:20,3,0.6666666666666666,2.679149671793404,3.0375585983338693,1.0701285059753558,2.5035775206749817,2.8384989105260052
121,2010-03-26 13:57:20,2010-03-26 15:17:20,2010-03-26 14:42:20,6,1.3333333333333333,3.185432597855815,5.950057098542673,1.031682007695102,3.0951037097832472,5.753408089362431
123,2010-03-26 16:07:20,2010-03-26 17:27:20,2010-03-26 16:47:20,6,1.3333333333333333,2.402249273535623,3.026021741744957,1.0172682999411724,2.376274829504963,2.9746545153524875
128,2010-04-01 10:27:20,2010-04-01 11:17:20,2010-04-01 10:52:20,4,0.8333333333333334,1.848424870047084,2.8995761360059653,0.7470874232250526,2.4747151605736586,3.9116166549879003
130,2010-04-01 12:37:20,2010-04-01 17:37:20,2010-04-01 15:07:20,25,5.0,2.412145418655693,4.7089265236561095,0.8256087823281026,2.9389261764729286,5.176882688429228
132,2010-04-04 09:57:20,2010-04-04 10:37:20,2010-04-04 10:17:20,3,0.6666666666666666,1.6652175422293245,2.375125293398427,0.8166752834266231,2.039020374465565,2.9082860000768322
133,2010-04-04 10:47:20,2010-04-04 13:07:20,2010-04-04 12:02:20,12,2.3333333333333335,2.7285282609279093,5.997295489540356,0.7804341610119084,3.516950280526137,7.814177371046258
147,2010-04-12 04:47:20,2010-04-12 05:37:20,2010-04-12 05:17:20,3,0.8333333333333334,2.7317455273521305,3.14937883586425,0.9733429691050361,2.806560086280687,3.2356311555422472
150,2010-04-13 04:57:20,2010-04-13 05:37:20,2010-04-13 05:17:20,3,0.6666666666666666,2.53195594291556,3.065988263313069,0.9706223469003253,2.6085902009173196,3.1587859821116604
152,2010-04-14 04:57:20,2010-04-14 05:37:20,2010-04-14 05:17:20,3,0.6666666666666666,3.664362355446684,5.939158534919804,1.0450853988338262,3.568403334161565,5.682940878847893
162,2010-04-16 08:47:20,2010-04-16 09:47:20,2010-04-16 09:17:20,3,1.0,2.143115660745318,2.9859994474819334,0.8850420376209047,2.4443911761294643,3.3432233033614147
173,2010-04-22 10:17:20,2010-04-22 11:07:20,2010-04-22 10:47:20,3,0.8333333333333334,1.6416512321876704,1.6494020671701388,0.5699013164327835,2.8525043596962285,2.880588594641882
180,2010-04-24 11:27:20,2010-04-24 12:17:20,2010-04-24 11:57:20,3,0.8333333333333334,1.2245285876545156,1.312543139373769,0.5905685891169353,2.0734739541185676,2.2006186022699983
186,2010-04-28 12:57:20,2010-04-28 13:47:20,2010-04-28 13:22:20,4,0.8333333333333334,1.3109913595632732,2.1341445125142644,0.5464190342560247,2.407153473245205,3.8817724316864015
187,2010-04-30 09:27:20,2010-04-30 10:57:20,2010-04-30 10:12:20,6,1.5,1.5860465287729544,1.865051790550524,0.6046603667694094,2.6384963945839126,3.0844617789572637
192,2010-05-04 08:27:20,2010-05-04 10:07:20,2010-05-04 09:17:20,7,1.6666666666666667,1.5894408657375885,2.223628205464321,0.6790032451660448,2.34272888888287,3.274841793901221
196,2010-05-05 11:47:20,2010-05-05 12:27:20,2010-05-05 12:07:20,3,0.6666666666666666,1.521607070045062,1.5358755366165346,0.6024631156144687,2.506605492167159,2.549327082123613
197,2010-05-05 15:37:20,2010-05-05 16:17:20,2010-05-05 15:57:20,3,0.6666666666666666,1.2540438048535916,1.4236094244557418,0.5527450140847835,2.268756429996922,2.587316201082381
203,2010-05-09 08:17:20,2010-05-09 10:27:20,2010-05-09 09:22:20,12,2.1666666666666665,1.4641900580631027,2.0382735829427387,0.5315556654954312,2.762757279723993,3.8589175814976
220,2010-05-17 08:37:20,2010-05-17 09:17:20,2010-05-17 08:57:20,3,0.6666666666666666,0.9572965284327724,1.0327306842599075,0.440758164278943,2.1719314717603897,2.353422063671667
