start,end,mid,phase_rms_rad,n_samples,baseline_phase_rms_rad,phase_ratio,is_disturbed
2010-01-01 09:37:20,2010-01-01 09:57:20,2010-01-01 09:47:20,14.885681879588477,120,18.634001901889256,0.7988451411545285,False
2010-01-01 09:47:20,2010-01-01 10:07:20,2010-01-01 09:57:20,15.971840762959076,120,18.623388180787167,0.857622716549314,False
2010-01-01 09:57:20,2010-01-01 10:17:20,2010-01-01 10:07:20,8.508994951912767,120,18.548137530537765,0.45875198724958266,False
2010-01-01 10:07:20,2010-01-01 10:27:20,2010-01-01 10:17:20,6.813039289138057,120,18.47288688028836,0.368812916643146,False
2010-01-01 10:17:20,2010-01-01 10:37:20,2010-01-01 10:27:20,9.688446361020612,120,18.548137530537765,0.522340657926948,False
2010-01-01 10:27:20,2010-01-01 10:47:20,2010-01-01 10:37:20,8.71217490488094,117,18.623388180787167,0.46780826454924357,False
2010-01-01 10:37:20,2010-01-01 10:57:20,2010-01-01 10:47:20,6.519551223133148,57,18.634001901889256,0.34987391637392434,False
2010-01-02 09:27:20,2010-01-02 09:47:20,2010-01-02 09:37:20,18.06226185169037,53,18.644615622991346,0.9687655791314435,False
2010-01-02 09:37:20,2010-01-02 09:57:20,2010-01-02 09:47:20,44.11681450875049,112,18.738332272688098,2.354361843238984,True
2010-01-02 09:47:20,2010-01-02 10:07:20,2010-01-02 09:57:20,24.325380772181564,119,18.644615622991346,1.304686632540982,False
2010-01-02 09:57:20,2010-01-02 10:17:20,2010-01-02 10:07:20,16.573201332995993,120,18.634001901889256,0.8894064420652268,False
2010-01-02 10:07:20,2010-01-02 10:27:20,2010-01-02 10:17:20,16.610812386373105,120,18.623388180787167,0.8919328870301734,False
2010-01-02 10:17:20,2010-01-02 10:37:20,2010-01-02 10:27:20,17.77050303730776,120,18.548137530537765,0.9580747936578697,False
2010-01-02 10:27:20,2010-01-02 10:47:20,2010-01-02 10:37:20,28.39655030763483,115,18.47288688028836,1.5372015479581371,False
2010-01-02 10:37:20,2010-01-02 10:57:20,2010-01-02 10:47:20,11.750294973067,55,18.548137530537765,0.6335026874650483,False
2010-01-03 09:37:20,2010-01-03 09:57:20,2010-01-03 09:47:20,20.02555372977652,106,18.47288688028836,1.0840511209509405,False
2010-01-03 09:47:20,2010-01-03 10:07:20,2010-01-03 09:57:20,15.941169301820702,120,18.442359389971266,0.8643779770656307,False
2010-01-03 09:57:20,2010-01-03 10:17:20,2010-01-03 10:07:20,14.767038412448205,120,18.47288688028836,0.7993898575866607,False
2010-01-03 10:07:20,2010-01-03 10:27:20,2010-01-03 10:17:20,15.396187381536862,120,18.442359389971266,0.8348274239742408,False
2010-01-03 10:17:20,2010-01-03 10:37:20,2010-01-03 10:27:20,19.836229663321337,120,18.47288688028836,1.0738023673217931,False
2010-01-03 10:27:20,2010-01-03 10:47:20,2010-01-03 10:37:20,18.47288688028836,117,18.548137530537765,0.995942953834286,False
2010-01-03 10:37:20,2010-01-03 10:57:20,2010-01-03 10:47:20,12.307181256132887,57,18.623388180787167,0.66084544534327,False
2010-01-04 09:37:20,2010-01-04 09:57:20,2010-01-04 09:47:20,21.030456429475908,94,18.634001901889256,1.1286065408925219,False
2010-01-04 09:47:20,2010-01-04 10:07:20,2010-01-04 09:57:20,34.30765995280267,109,18.644615622991346,1.8400840567877765,False
2010-01-04 09:57:20,2010-01-04 10:17:20,2010-01-04 10:07:20,31.989157341961484,107,18.738332272688098,1.7071507152526597,False
2010-01-04 10:07:20,2010-01-04 10:27:20,2010-01-04 10:17:20,49.14179187612708,117,18.832048922384853,2.6094766468939197,True
2010-01-04 10:17:20,2010-01-04 10:37:20,2010-01-04 10:27:20,32.79662684675519,118,18.738332272688098,1.750242570655962,False
2010-01-04 10:27:20,2010-01-04 10:47:20,2010-01-04 10:37:20,28.423108702118306,113,18.644615622991346,1.5244673999644567,False
2010-01-04 10:37:20,2010-01-04 10:57:20,2010-01-04 10:47:20,16.395321431442156,55,18.738332272688098,0.8749616130640944,False
2010-01-05 09:37:20,2010-01-05 09:57:20,2010-01-05 09:47:20,13.04451264693005,94,18.832048922384853,0.6926762297980542,False
2010-01-05 09:47:20,2010-01-05 10:07:20,2010-01-05 09:57:20,51.38391833643139,120,18.738332272688098,2.74218204633534,True
2010-01-05 09:57:20,2010-01-05 10:17:20,2010-01-05 10:07:20,18.832048922384853,120,18.832048922384853,1.0,False
2010-01-05 10:07:20,2010-01-05 10:27:20,2010-01-05 10:17:20,29.74861083113659,120,18.926580646928652,1.5717900336088497,False
2010-01-05 10:17:20,2010-01-05 10:37:20,2010-01-05 10:27:20,35.40012023787154,119,19.02111237147245,1.8610962149071815,False
2010-01-05 10:27:20,2010-01-05 10:47:20,2010-01-05 10:37:20,36.92268419385631,115,19.035181646895,1.9397074784352848,False
2010-01-05 10:37:20,2010-01-05 10:57:20,2010-01-05 10:47:20,15.73725701199797,56,19.04925092231755,0.8261352152992355,False
2010-01-06 09:37:20,2010-01-06 09:57:20,2010-01-06 09:47:20,22.22516118335404,89,19.035181646895,1.1675833514821954,False
2010-01-06 09:47:20,2010-01-06 10:07:20,2010-01-06 09:57:20,34.471337750988454,120,19.02111237147245,1.812267183841887,False
2010-01-06 09:57:20,2010-01-06 10:17:20,2010-01-06 10:07:20,24.169176292976413,120,18.926580646928652,1.276996449799743,False
2010-01-06 10:07:20,2010-01-06 10:27:20,2010-01-06 10:17:20,21.902302460855825,120,19.02111237147245,1.1514732699705057,False
2010-01-06 10:17:20,2010-01-06 10:37:20,2010-01-06 10:27:20,16.451487998965472,119,19.035181646895,0.8642674550809459,False
2010-01-06 10:27:20,2010-01-06 10:47:20,2010-01-06 10:37:20,34.10224004636859,116,19.04925092231755,1.7902142286558573,False
2010-01-06 10:37:20,2010-01-06 10:57:20,2010-01-06 10:47:20,13.23589779615456,57,19.12279377159052,0.6921529329996888,False
2010-01-07 09:37:20,2010-01-07 09:57:20,2010-01-07 09:47:20,15.63894814535228,84,19.196336620863487,0.8146839917547148,False
2010-01-07 09:47:20,2010-01-07 10:07:20,2010-01-07 09:57:20,19.74588341234867,120,19.22104996106917,1.0273051395393338,False
2010-01-07 09:57:20,2010-01-07 10:17:20,2010-01-07 10:07:20,29.136722938371285,120,19.245763301274856,1.5139291948187497,False
2010-01-07 10:07:20,2010-01-07 10:27:20,2010-01-07 10:17:20,15.04187275670081,120,19.246285439077496,0.7815467979166473,False
2010-01-07 10:17:20,2010-01-07 10:37:20,2010-01-07 10:27:20,28.188760860682702,120,19.246807576880133,1.4645941020652133,False
2010-01-07 10:27:20,2010-01-07 10:47:20,2010-01-07 10:37:20,14.49393081236213,115,19.259333919681602,0.7525665670893433,False
2010-01-07 10:37:20,2010-01-07 10:57:20,2010-01-07 10:47:20,13.067279669135289,55,19.27186026248307,0.678049731118777,False
2010-01-08 09:37:20,2010-01-08 09:57:20,2010-01-08 09:47:20,14.188674481304565,80,19.259333919681602,0.7367167805738494,False
2010-01-08 09:47:20,2010-01-08 10:07:20,2010-01-08 09:57:20,16.502530941698527,120,19.27186026248307,0.8563019198423905,False
2010-01-08 09:57:20,2010-01-08 10:17:20,2010-01-08 10:07:20,13.525666392754545,120,19.50887183741587,0.6933084857738315,False
2010-01-08 10:07:20,2010-01-08 10:27:20,2010-01-08 10:17:20,15.270073167454283,119,19.74588341234867,0.7733294504263452,False
2010-01-08 10:17:20,2010-01-08 10:37:20,2010-01-08 10:27:20,9.749916142608969,119,19.791056537835004,0.492642528910462,False
