start,end,mid,phase_rms_rad,n_samples
2011-01-01 05:34:10,2011-01-01 05:54:10,2011-01-01 05:44:10,0.4080195825885243,120
2011-01-01 05:44:10,2011-01-01 06:04:10,2011-01-01 05:54:10,0.26357285724036683,120
2011-01-01 05:54:10,2011-01-01 06:14:10,2011-01-01 06:04:10,0.32971246659332387,120
2011-01-01 06:04:10,2011-01-01 06:24:10,2011-01-01 06:14:10,0.2166817039801984,120
2011-01-01 06:14:10,2011-01-01 06:34:10,2011-01-01 06:24:10,0.23934029945645008,120
2011-01-01 06:24:10,2011-01-01 06:44:10,2011-01-01 06:34:10,0.11191409537520351,120
2011-01-01 06:34:10,2011-01-01 06:54:10,2011-01-01 06:44:10,0.359339877817328,120
2011-01-01 06:44:10,2011-01-01 07:04:10,2011-01-01 06:54:10,0.23797118991333555,120
2011-01-01 06:54:10,2011-01-01 07:14:10,2011-01-01 07:04:10,0.229572460362847,120
2011-01-01 07:04:10,2011-01-01 07:24:10,2011-01-01 07:14:10,0.3176045562874415,120
2011-01-01 07:14:10,2011-01-01 07:34:10,2011-01-01 07:24:10,0.302625865343521,120
2011-01-01 07:24:10,2011-01-01 07:44:10,2011-01-01 07:34:10,0.29270502769464435,120
2011-01-01 07:34:10,2011-01-01 07:54:10,2011-01-01 07:44:10,0.2945206376253807,120
2011-01-01 07:44:10,2011-01-01 08:04:10,2011-01-01 07:54:10,0.15494320018536312,120
2011-01-01 07:54:10,2011-01-01 08:14:10,2011-01-01 08:04:10,0.27583366454956654,120
2011-01-01 08:04:10,2011-01-01 08:24:10,2011-01-01 08:14:10,0.15653165385700202,120
2011-01-01 08:14:10,2011-01-01 08:34:10,2011-01-01 08:24:10,0.11270734127708944,120
2011-01-01 08:24:10,2011-01-01 08:44:10,2011-01-01 08:34:10,0.20819556106690265,120
2011-01-01 08:34:10,2011-01-01 08:54:10,2011-01-01 08:44:10,0.16724754997764785,120
2011-01-01 08:44:10,2011-01-01 09:04:10,2011-01-01 08:54:10,0.28356772025378496,120
2011-01-01 08:54:10,2011-01-01 09:14:10,2011-01-01 09:04:10,0.10228119386413102,120
2011-01-01 09:04:10,2011-01-01 09:24:10,2011-01-01 09:14:10,0.13603723566810857,120
2011-01-01 09:14:10,2011-01-01 09:34:10,2011-01-01 09:24:10,0.13534075987449898,120
2011-01-01 09:24:10,2011-01-01 09:44:10,2011-01-01 09:34:10,0.15594683886431407,120
2011-01-01 09:34:10,2011-01-01 09:54:10,2011-01-01 09:44:10,0.174437628917228,120
2011-01-01 09:44:10,2011-01-01 10:04:10,2011-01-01 09:54:10,0.15330759366348312,120
2011-01-01 09:54:10,2011-01-01 10:14:10,2011-01-01 10:04:10,0.24741030823911653,120
