start,end,mid,phase_rms_rad,n_samples,elongation_deg
2012-01-01 11:35:30,2012-01-01 11:55:30,2012-01-01 11:45:30,0.2462823103103438,120,34.00926663194444
2012-01-01 11:45:30,2012-01-01 12:05:30,2012-01-01 11:55:30,0.577678230609958,120,34.0107034375
2012-01-01 11:55:30,2012-01-01 12:15:30,2012-01-01 12:05:30,0.18318101513980595,120,34.012140243055555
2012-01-01 12:05:30,2012-01-01 12:25:30,2012-01-01 12:15:30,0.3275467526330628,120,34.01357704861111
2012-01-01 12:15:30,2012-01-01 12:35:30,2012-01-01 12:25:30,0.19916936099085839,120,34.01501385416667
2012-01-01 12:25:30,2012-01-01 12:45:30,2012-01-01 12:35:30,0.20387145456981126,120,34.016450659722224
2012-01-01 12:35:30,2012-01-01 12:55:30,2012-01-01 12:45:30,0.2698651550203165,120,34.01788746527778
2012-01-01 12:45:30,2012-01-01 13:05:30,2012-01-01 12:55:30,0.4196064993934065,120,34.01932427083334
2012-01-01 12:55:30,2012-01-01 13:15:30,2012-01-01 13:05:30,0.3183264635311698,120,34.02076107638889
2012-01-01 13:05:30,2012-01-01 13:25:30,2012-01-01 13:15:30,0.2051806350583619,120,34.02219788194444
2012-01-01 13:15:30,2012-01-01 13:35:30,2012-01-01 13:25:30,0.3962337474232901,120,34.0236346875
2012-01-01 13:25:30,2012-01-01 13:45:30,2012-01-01 13:35:30,0.11809300603735588,120,34.025071493055556
2012-01-01 13:35:30,2012-01-01 13:55:30,2012-01-01 13:45:30,0.27241745941361306,120,34.02650829861111
2012-01-01 13:45:30,2012-01-01 14:05:30,2012-01-01 13:55:30,0.35833714357452356,120,34.02794510416667
2012-01-01 13:55:30,2012-01-01 14:15:30,2012-01-01 14:05:30,0.34215358784844463,120,34.029381909722225
2012-01-01 14:05:30,2012-01-01 14:25:30,2012-01-01 14:15:30,0.22199746337717277,120,34.03081871527778
2012-01-01 14:15:30,2012-01-01 14:35:30,2012-01-01 14:25:30,0.34394913403369926,120,34.03225552083333
2012-01-01 14:25:30,2012-01-01 14:45:30,2012-01-01 14:35:30,0.1783069285483676,120,34.03369232638889
2012-01-01 14:35:30,2012-01-01 14:55:30,2012-01-01 14:45:30,0.1961510135971877,120,34.035129131944444
2012-01-01 14:45:30,2012-01-01 15:05:30,2012-01-01 14:55:30,0.18408254105986457,120,34.0365659375
2012-01-01 14:55:30,2012-01-01 15:15:30,2012-01-01 15:05:30,0.24683841430757494,120,34.03800274305556
2012-01-01 15:05:30,2012-01-01 15:25:30,2012-01-01 15:15:30,0.193362240210317,120,34.039439548611114
2012-01-01 15:15:30,2012-01-01 15:35:30,2012-01-01 15:25:30,0.17790510346351723,120,34.04087635416667
2012-01-01 15:25:30,2012-01-01 15:45:30,2012-01-01 15:35:30,0.195843811646299,120,34.04231315972223
2012-01-01 15:35:30,2012-01-01 15:55:30,2012-01-01 15:45:30,0.23280180450544566,120,34.043749965277776
2012-01-01 15:45:30,2012-01-01 16:05:30,2012-01-01 15:55:30,0.25245128025284697,120,34.04518677083333
2012-01-01 15:55:30,2012-01-01 16:15:30,2012-01-01 16:05:30,0.2929915170199636,120,34.04662357638889
2012-01-01 16:05:30,2012-01-01 16:25:30,2012-01-01 16:15:30,0.19555010500755018,120,34.048060381944445
2012-01-01 16:15:30,2012-01-01 16:35:30,2012-01-01 16:25:30,0.18927683377838572,120,34.0494971875
2012-01-01 16:25:30,2012-01-01 16:45:30,2012-01-01 16:35:30,0.31713594113172444,120,34.05093399305556
2012-01-01 16:35:30,2012-01-01 16:55:30,2012-01-01 16:45:30,0.2005584401097094,120,34.052370798611115
2012-01-01 16:45:30,2012-01-01 17:05:30,2012-01-01 16:55:30,0.22435011361690899,120,34.05380760416667
2012-01-01 16:55:30,2012-01-01 17:15:30,2012-01-01 17:05:30,0.3262017746435195,120,34.05524440972222
2012-01-01 17:05:30,2012-01-01 17:25:30,2012-01-01 17:15:30,0.2934049769322056,120,34.05668121527778
2012-01-01 17:15:30,2012-01-01 17:35:30,2012-01-01 17:25:30,0.3104427377474337,120,34.058118020833334
2012-01-01 17:25:30,2012-01-01 17:45:30,2012-01-01 17:35:30,0.2573370886534739,120,34.05955482638889
2012-01-01 17:35:30,2012-01-01 17:55:30,2012-01-01 17:45:30,0.2210343231381929,120,34.06099163194445
2012-01-01 17:45:30,2012-01-01 18:05:30,2012-01-01 17:55:30,0.21438645949164553,77,34.0624284375
2012-01-02 11:25:30,2012-01-02 11:45:30,2012-01-02 11:35:30,1.7926524649791975,66,34.21439173611111
2012-01-02 11:35:30,2012-01-02 11:55:30,2012-01-02 11:45:30,1.1347951481452947,120,34.21582368055556
2012-01-02 11:45:30,2012-01-02 12:05:30,2012-01-02 11:55:30,0.7785598997271672,120,34.217255625
2012-01-02 11:55:30,2012-01-02 12:15:30,2012-01-02 12:05:30,0.5731678981199142,120,34.21868756944445
2012-01-02 12:05:30,2012-01-02 12:25:30,2012-01-02 12:15:30,0.8785936393379133,120,34.22011951388889
2012-01-02 12:15:30,2012-01-02 12:35:30,2012-01-02 12:25:30,0.48172889998287716,120,34.22155145833333
2012-01-02 12:25:30,2012-01-02 12:45:30,2012-01-02 12:35:30,0.9864942853376519,120,34.22298340277778
2012-01-02 12:35:30,2012-01-02 12:55:30,2012-01-02 12:45:30,0.6193524463598465,120,34.22441534722222
2012-01-02 12:45:30,2012-01-02 13:05:30,2012-01-02 12:55:30,0.5575837892831844,120,34.22584729166667
2012-01-02 12:55:30,2012-01-02 13:15:30,2012-01-02 13:05:30,0.4445218634533425,120,34.22727923611111
2012-01-02 13:05:30,2012-01-02 13:25:30,2012-01-02 13:15:30,0.5997789006660948,120,34.22871118055556
2012-01-02 13:15:30,2012-01-02 13:35:30,2012-01-02 13:25:30,0.8087746783239593,120,34.230143125
2012-01-02 13:25:30,2012-01-02 13:45:30,2012-01-02 13:35:30,0.6961790036771,120,34.231575069444446
2012-01-02 13:35:30,2012-01-02 13:55:30,2012-01-02 13:45:30,0.7365988624458019,120,34.23300701388889
